product_name,period,search_ratio,search_keywords,shopping_ratio,shopping_keywords
구운계란,2026-04-08,55.45646,구운계란,62.15429,구운계란
구운계란,2026-04-09,54.56465,구운계란,61.42649,구운계란
구운계란,2026-04-10,42.64257,구운계란,50.80058,구운계란
구운계란,2026-04-11,30.43886,구운계란,39.15574,구운계란
구운계란,2026-04-12,41.65688,구운계란,56.18631,구운계란
구운계란,2026-04-13,65.64186,구운계란,61.71761,구운계란
구운계란,2026-04-14,59.93898,구운계란,58.51528,구운계란
구운계란,2026-04-15,55.78502,구운계란,52.5473,구운계란
구운계란,2026-04-16,53.5555,구운계란,56.91411,구운계란
구운계란,2026-04-17,40.50692,구운계란,47.74381,구운계란
구운계란,2026-04-18,29.07768,구운계란,30.8588,구운계란
구운계란,2026-04-19,39.23961,구운계란,46.87045,구운계란
구운계란,2026-04-20,69.60807,구운계란,53.2751,구운계란
구운계란,2026-04-21,63.38887,구운계란,70.88791,구운계란
꽃게,2026-04-08,57.00539,꽃게,61.71761,꽃게
꽃게,2026-04-09,59.86857,꽃게,74.67248,꽃게
꽃게,2026-04-10,51.84229,꽃게,56.04075,꽃게
꽃게,2026-04-11,49.75357,꽃게,44.1048,꽃게
꽃게,2026-04-12,48.01689,꽃게,40.61135,꽃게
꽃게,2026-04-13,56.91152,꽃게,60.84425,꽃게
꽃게,2026-04-14,52.75756,꽃게,65.21106,꽃게
꽃게,2026-04-15,56.20746,꽃게,63.02765,꽃게
꽃게,2026-04-16,71.03966,꽃게,78.60262,꽃게
꽃게,2026-04-17,64.13987,꽃게,64.19213,꽃게
꽃게,2026-04-18,57.61558,꽃게,40.17467,꽃게
꽃게,2026-04-19,75.47524,꽃게,58.22416,꽃게
꽃게,2026-04-20,80.63834,꽃게,80.05822,꽃게
꽃게,2026-04-21,75.38136,꽃게,72.63464,꽃게
닭가슴살,2026-04-08,79.3942,닭가슴살,89.08212,닭가슴살
닭가슴살,2026-04-09,78.47667,닭가슴살,79.71014,닭가슴살
닭가슴살,2026-04-10,63.91775,닭가슴살,70.0483,닭가슴살
닭가슴살,2026-04-11,51.72451,닭가슴살,66.18357,닭가슴살
닭가슴살,2026-04-12,68.85916,닭가슴살,75.65217,닭가슴살
닭가슴살,2026-04-13,97.46849,닭가슴살,81.15942,닭가슴살
닭가슴살,2026-04-14,89.3323,닭가슴살,100.0,닭가슴살
닭가슴살,2026-04-15,81.25138,닭가슴살,76.42512,닭가슴살
닭가슴살,2026-04-16,74.54123,닭가슴살,73.52657,닭가슴살
닭가슴살,2026-04-17,60.61242,닭가슴살,70.62801,닭가슴살
닭가슴살,2026-04-18,50.22109,닭가슴살,59.90338,닭가슴살
닭가슴살,2026-04-19,66.00707,닭가슴살,71.30434,닭가슴살
닭가슴살,2026-04-20,92.6929,닭가슴살,85.89371,닭가슴살
닭가슴살,2026-04-21,86.06013,닭가슴살,79.22705,닭가슴살
두릅,2026-04-08,21.25914,두릅,78.88774,두릅
두릅,2026-04-09,18.59818,두릅,78.99073,두릅
두릅,2026-04-10,19.13679,두릅,72.2966,두릅
두릅,2026-04-11,24.14125,두릅,74.66529,두릅
두릅,2026-04-12,26.19582,두릅,91.45211,두릅
두릅,2026-04-13,27.36579,두릅,81.66838,두릅
두릅,2026-04-14,31.61048,두릅,100.0,두릅
두릅,2026-04-15,32.64134,두릅,93.71781,두릅
두릅,2026-04-16,32.2454,두릅,82.90422,두릅
두릅,2026-04-17,31.11467,두릅,74.5623,두릅
두릅,2026-04-18,31.28945,두릅,75.79814,두릅
두릅,2026-04-19,33.24772,두릅,74.97425,두릅
두릅,2026-04-20,31.63902,두릅,79.60865,두릅
두릅,2026-04-21,30.71874,두릅,70.64881,두릅
레몬즙,2026-04-08,15.71262,레몬즙,70.63253,레몬즙
레몬즙,2026-04-09,16.55881,레몬즙,81.4759,레몬즙
레몬즙,2026-04-10,14.06172,레몬즙,63.40361,레몬즙
레몬즙,2026-04-11,13.14916,레몬즙,58.73493,레몬즙
레몬즙,2026-04-12,13.82113,레몬즙,67.62048,레몬즙
레몬즙,2026-04-13,16.21038,레몬즙,76.65662,레몬즙
레몬즙,2026-04-14,18.98125,레몬즙,84.48795,레몬즙
레몬즙,2026-04-15,15.83706,레몬즙,79.21686,레몬즙
레몬즙,2026-04-16,14.80836,레몬즙,68.9759,레몬즙
레몬즙,2026-04-17,12.47718,레몬즙,61.44578,레몬즙
레몬즙,2026-04-18,12.49377,레몬즙,51.65662,레몬즙
레몬즙,2026-04-19,14.55118,레몬즙,59.93975,레몬즙
레몬즙,2026-04-20,16.51733,레몬즙,77.56024,레몬즙
레몬즙,2026-04-21,16.03617,레몬즙,79.66867,레몬즙
마그네슘,2026-04-08,91.24618,마그네슘,85.29839,마그네슘
마그네슘,2026-04-09,87.51466,마그네슘,84.86171,마그네슘
마그네슘,2026-04-10,87.42079,마그네슘,88.06404,마그네슘
마그네슘,2026-04-11,73.64468,마그네슘,72.92576,마그네슘
마그네슘,2026-04-12,81.92912,마그네슘,90.10189,마그네슘
마그네슘,2026-04-13,100.0,마그네슘,100.0,마그네슘
마그네슘,2026-04-14,92.86552,마그네슘,84.71615,마그네슘
마그네슘,2026-04-15,89.32175,마그네슘,91.12081,마그네슘
마그네슘,2026-04-16,83.05562,마그네슘,77.14701,마그네슘
마그네슘,2026-04-17,77.58742,마그네슘,83.55167,마그네슘
마그네슘,2026-04-18,76.76601,마그네슘,84.13391,마그네슘
마그네슘,2026-04-19,81.99953,마그네슘,80.20378,마그네슘
마그네슘,2026-04-20,96.73785,마그네슘,98.83551,마그네슘
마그네슘,2026-04-21,92.34921,마그네슘,72.48908,마그네슘
마늘쫑,2026-04-08,7.14285,마늘쫑,33.43373,마늘쫑
마늘쫑,2026-04-09,7.01841,마늘쫑,44.72891,마늘쫑
마늘쫑,2026-04-10,7.32536,마늘쫑,36.44578,마늘쫑
마늘쫑,2026-04-11,7.0433,마늘쫑,30.42168,마늘쫑
마늘쫑,2026-04-12,8.6942,마늘쫑,40.36144,마늘쫑
마늘쫑,2026-04-13,10.17919,마늘쫑,51.05421,마늘쫑
마늘쫑,2026-04-14,11.09175,마늘쫑,57.98192,마늘쫑
마늘쫑,2026-04-15,11.93794,마늘쫑,51.20481,마늘쫑
마늘쫑,2026-04-16,12.82561,마늘쫑,52.10843,마늘쫑
마늘쫑,2026-04-17,12.26978,마늘쫑,60.39156,마늘쫑
마늘쫑,2026-04-18,12.12045,마늘쫑,45.48192,마늘쫑
마늘쫑,2026-04-19,14.44333,마늘쫑,55.27108,마늘쫑
마늘쫑,2026-04-20,16.68325,마늘쫑,60.09036,마늘쫑
마늘쫑,2026-04-21,18.94806,마늘쫑,88.70481,마늘쫑
비타민c,2026-04-08,13.64365,비타민c,36.45726,비타민c
비타민c,2026-04-09,13.99678,비타민c,41.29763,비타민c
비타민c,2026-04-10,12.46299,비타민c,39.75283,비타민c
비타민c,2026-04-11,11.68182,비타민c,40.88568,비타민c
비타민c,2026-04-12,12.77688,비타민c,45.21112,비타민c
비타민c,2026-04-13,14.00035,비타민c,41.19464,비타민c
비타민c,2026-04-14,16.08703,비타민c,44.79917,비타민c
비타민c,2026-04-15,15.05617,비타민c,46.138,비타민c
비타민c,2026-04-16,15.51988,비타민c,57.36354,비타민c
비타민c,2026-04-17,14.15373,비타민c,50.46343,비타민c
비타민c,2026-04-18,13.97895,비타민c,52.31719,비타민c
비타민c,2026-04-19,16.54003,비타민c,64.5726,비타민c
비타민c,2026-04-20,17.30693,비타민c,68.69207,비타민c
비타민c,2026-04-21,17.79917,비타민c,66.42636,비타민c
사과,2026-04-08,12.05279,사과,68.79505,사과
사과,2026-04-09,11.78883,사과,61.38002,사과
사과,2026-04-10,9.70572,사과,54.5829,사과
사과,2026-04-11,8.59639,사과,40.67971,사과
사과,2026-04-12,9.64508,사과,57.56951,사과
사과,2026-04-13,12.61993,사과,60.65911,사과
사과,2026-04-14,11.53201,사과,64.98455,사과
사과,2026-04-15,11.19671,사과,67.04428,사과
사과,2026-04-16,10.40841,사과,76.00411,사과
사과,2026-04-17,9.30265,사과,45.72605,사과
사과,2026-04-18,7.97931,사과,40.26776,사과
사과,2026-04-19,10.19796,사과,53.75901,사과
사과,2026-04-20,12.17406,사과,59.01132,사과
사과,2026-04-21,11.23952,사과,62.51287,사과
생수,2026-04-08,59.18798,생수,73.21688,생수
생수,2026-04-09,56.51255,생수,60.11644,생수
생수,2026-04-10,51.70147,생수,62.73653,생수
생수,2026-04-11,42.75991,생수,50.3639,생수
생수,2026-04-12,53.13306,생수,62.29985,생수
생수,2026-04-13,67.87139,생수,79.91266,생수
생수,2026-04-14,64.9378,생수,80.4949,생수
생수,2026-04-15,65.45411,생수,79.47598,생수
생수,2026-04-16,64.09293,생수,74.09024,생수
생수,2026-04-17,55.29218,생수,57.64192,생수
생수,2026-04-18,47.19549,생수,43.08588,생수
생수,2026-04-19,57.96761,생수,63.17321,생수
생수,2026-04-20,62.00422,생수,74.52692,생수
생수,2026-04-21,61.53485,생수,74.2358,생수
쌀10kg,2026-04-08,23.09307,쌀10kg,78.74396,쌀10kg
쌀10kg,2026-04-09,23.4026,쌀10kg,77.48792,쌀10kg
쌀10kg,2026-04-10,20.08622,쌀10kg,64.2512,쌀10kg
쌀10kg,2026-04-11,19.10236,쌀10kg,59.61352,쌀10kg
쌀10kg,2026-04-12,24.74021,쌀10kg,74.49275,쌀10kg
쌀10kg,2026-04-13,26.2768,쌀10kg,81.15942,쌀10kg
쌀10kg,2026-04-14,24.54123,쌀10kg,76.13526,쌀10kg
쌀10kg,2026-04-15,23.67897,쌀10kg,63.09178,쌀10kg
쌀10kg,2026-04-16,21.91023,쌀10kg,71.20772,쌀10kg
쌀10kg,2026-04-17,20.41786,쌀10kg,52.85024,쌀10kg
쌀10kg,2026-04-18,18.81494,쌀10kg,59.03381,쌀10kg
쌀10kg,2026-04-19,24.27592,쌀10kg,69.17874,쌀10kg
쌀10kg,2026-04-20,29.93588,쌀10kg,82.80193,쌀10kg
쌀10kg,2026-04-21,26.05571,쌀10kg,74.7826,쌀10kg
쌀20kg,2026-04-08,28.98518,쌀20kg,84.54106,쌀20kg
쌀20kg,2026-04-09,27.75812,쌀20kg,86.57004,쌀20kg
쌀20kg,2026-04-10,23.92217,쌀20kg,65.02415,쌀20kg
쌀20kg,2026-04-11,24.1101,쌀20kg,70.62801,쌀20kg
쌀20kg,2026-04-12,27.80234,쌀20kg,93.42995,쌀20kg
쌀20kg,2026-04-13,29.81428,쌀20kg,87.72946,쌀20kg
쌀20kg,2026-04-14,27.69179,쌀20kg,87.05314,쌀20kg
쌀20kg,2026-04-15,26.25469,쌀20kg,80.38647,쌀20kg
쌀20kg,2026-04-16,26.71899,쌀20kg,72.36714,쌀20kg
쌀20kg,2026-04-17,23.31417,쌀20kg,61.15942,쌀20kg
쌀20kg,2026-04-18,20.91532,쌀20kg,59.71014,쌀20kg
쌀20kg,2026-04-19,25.14923,쌀20kg,77.77777,쌀20kg
쌀20kg,2026-04-20,25.5472,쌀20kg,84.2512,쌀20kg
쌀20kg,2026-04-21,26.34313,쌀20kg,93.91304,쌀20kg
알부민,2026-04-08,48.92151,알부민,98.64457,알부민
알부민,2026-04-09,46.2585,알부민,72.13855,알부민
알부민,2026-04-10,38.45196,알부민,74.69879,알부민
알부민,2026-04-11,38.41048,알부민,66.86746,알부민
알부민,2026-04-12,36.37796,알부민,82.22891,알부민
알부민,2026-04-13,74.63912,알부민,89.45783,알부민
알부민,2026-04-14,100.0,알부민,89.45783,알부민
알부민,2026-04-15,62.25319,알부민,95.93373,알부민
알부민,2026-04-16,51.42691,알부민,96.68674,알부민
알부민,2026-04-17,42.29301,알부민,82.68072,알부민
알부민,2026-04-18,47.39505,알부민,73.19277,알부민
알부민,2026-04-19,40.27708,알부민,83.28313,알부민
알부민,2026-04-20,58.87672,알부민,100.0,알부민
알부민,2026-04-21,45.40401,알부민,79.21686,알부민
엄나무순,2026-04-08,23.07947,엄나무순,50.3012,엄나무순
엄나무순,2026-04-09,23.95055,엄나무순,69.2771,엄나무순
엄나무순,2026-04-10,27.45976,엄나무순,56.3253,엄나무순
엄나무순,2026-04-11,34.70217,엄나무순,59.78915,엄나무순
엄나무순,2026-04-12,44.64907,엄나무순,81.3253,엄나무순
엄나무순,2026-04-13,48.79707,엄나무순,78.76506,엄나무순
엄나무순,2026-04-14,56.29666,엄나무순,67.92168,엄나무순
엄나무순,2026-04-15,61.8052,엄나무순,81.7771,엄나무순
엄나무순,2026-04-16,64.32719,엄나무순,73.79518,엄나무순
엄나무순,2026-04-17,67.10635,엄나무순,74.54819,엄나무순
엄나무순,2026-04-18,70.46623,엄나무순,80.12048,엄나무순
엄나무순,2026-04-19,74.24091,엄나무순,72.43975,엄나무순
엄나무순,2026-04-20,73.49427,엄나무순,86.29518,엄나무순
엄나무순,2026-04-21,78.33914,엄나무순,84.33734,엄나무순
오메가3,2026-04-08,85.71744,오메가3,73.33333,오메가3
오메가3,2026-04-09,87.99469,오메가3,73.7198,오메가3
오메가3,2026-04-10,76.46473,오메가3,71.88405,오메가3
오메가3,2026-04-11,68.25116,오메가3,61.93236,오메가3
오메가3,2026-04-12,79.96904,오메가3,75.36231,오메가3
오메가3,2026-04-13,93.06875,오메가3,71.69082,오메가3
오메가3,2026-04-14,89.5755,오메가3,83.76811,오메가3
오메가3,2026-04-15,84.18085,오메가3,82.31884,오메가3
오메가3,2026-04-16,82.22418,오메가3,79.42028,오메가3
오메가3,2026-04-17,74.80654,오메가3,74.00966,오메가3
오메가3,2026-04-18,71.97656,오메가3,75.74879,오메가3
오메가3,2026-04-19,87.24298,오메가3,94.29951,오메가3
오메가3,2026-04-20,100.0,오메가3,99.61352,오메가3
오메가3,2026-04-21,97.59009,오메가3,90.72463,오메가3
오이,2026-04-08,74.60674,오이,89.18918,오이
오이,2026-04-09,72.92134,오이,65.99099,오이
오이,2026-04-10,68.65168,오이,56.3063,오이
오이,2026-04-11,69.04494,오이,57.2072,오이
오이,2026-04-12,81.12359,오이,88.06306,오이
오이,2026-04-13,87.69662,오이,90.54054,오이
오이,2026-04-14,85.16853,오이,83.1081,오이
오이,2026-04-15,89.04494,오이,84.45945,오이
오이,2026-04-16,87.13483,오이,87.16216,오이
오이,2026-04-17,84.7191,오이,73.42342,오이
오이,2026-04-18,84.77528,오이,56.53153,오이
오이,2026-04-19,100.0,오이,87.83783,오이
오이,2026-04-20,98.48314,오이,92.34234,오이
오이,2026-04-21,96.91011,오이,100.0,오이
올리브오일,2026-04-08,34.89298,올리브오일,89.00602,올리브오일
올리브오일,2026-04-09,36.35307,올리브오일,80.57228,올리브오일
올리브오일,2026-04-10,32.59498,올리브오일,67.46987,올리브오일
올리브오일,2026-04-11,30.30529,올리브오일,70.48192,올리브오일
올리브오일,2026-04-12,31.64924,올리브오일,76.65662,올리브오일
올리브오일,2026-04-13,33.93064,올리브오일,73.34337,올리브오일
올리브오일,2026-04-14,31.41695,올리브오일,67.77108,올리브오일
올리브오일,2026-04-15,35.2663,올리브오일,77.71084,올리브오일
올리브오일,2026-04-16,31.01045,올리브오일,74.39759,올리브오일
올리브오일,2026-04-17,28.79542,올리브오일,70.78313,올리브오일
올리브오일,2026-04-18,34.03019,올리브오일,61.74698,올리브오일
올리브오일,2026-04-19,35.68939,올리브오일,74.24698,올리브오일
올리브오일,2026-04-20,36.62684,올리브오일,83.28313,올리브오일
올리브오일,2026-04-21,35.33266,올리브오일,79.51807,올리브오일
임박,2026-04-08,7.95587,임박,61.42649,임박
임박,2026-04-09,7.65078,임박,71.76128,임박
임박,2026-04-10,7.65078,임박,76.71033,임박
임박,2026-04-11,4.99882,임박,48.32605,임박
임박,2026-04-12,5.77329,임박,58.22416,임박
임박,2026-04-13,8.07322,임박,53.85735,임박
임박,2026-04-14,8.12015,임박,56.76855,임박
임박,2026-04-15,7.32222,임박,65.35662,임박
임박,2026-04-16,7.50997,임박,71.76128,임박
임박,2026-04-17,6.75897,임박,74.2358,임박
임박,2026-04-18,4.83454,임박,48.18049,임박
임박,2026-04-19,5.42126,임박,44.54148,임박
임박,2026-04-20,8.70687,임박,78.74818,임박
임박,2026-04-21,7.83853,임박,75.10917,임박
참외,2026-04-08,30.51072,참외,58.93719,참외
참외,2026-04-09,28.2003,참외,65.7971,참외
참외,2026-04-10,25.76829,참외,58.55072,참외
참외,2026-04-11,24.08799,참외,52.657,참외
참외,2026-04-12,28.35507,참외,57.29468,참외
참외,2026-04-13,34.36878,참외,73.7198,참외
참외,2026-04-14,34.42405,참외,77.10144,참외
참외,2026-04-15,36.61286,참외,67.9227,참외
참외,2026-04-16,40.97943,참외,77.77777,참외
참외,2026-04-17,32.52266,참외,66.08695,참외
참외,2026-04-18,29.57108,참외,52.36714,참외
참외,2026-04-19,33.52863,참외,66.28019,참외
참외,2026-04-20,38.33738,참외,73.14009,참외
참외,2026-04-21,39.39862,참외,84.44444,참외
창억떡,2026-04-08,98.37346,창억떡,84.552,창억떡
창억떡,2026-04-09,100.0,창억떡,97.94026,창억떡
창억떡,2026-04-10,85.95683,창억떡,89.49536,창억떡
창억떡,2026-04-11,80.00713,창억떡,78.68177,창억떡
창억떡,2026-04-12,83.83092,창억떡,95.67456,창억떡
창억떡,2026-04-13,92.91599,창억떡,95.67456,창억떡
창억떡,2026-04-14,82.82504,창억떡,70.44284,창억떡
창억떡,2026-04-15,75.55912,창억떡,62.92481,창억떡
창억떡,2026-04-16,70.87212,창억떡,66.32337,창억떡
창억떡,2026-04-17,65.1614,창억떡,55.81874,창억떡
창억떡,2026-04-18,60.51721,창억떡,58.49639,창억떡
창억떡,2026-04-19,54.78509,창억떡,59.2173,창억떡
창억떡,2026-04-20,68.56072,창억떡,71.67868,창억떡
창억떡,2026-04-21,67.83306,창억떡,71.57569,창억떡
촉촉한황치즈칩,2026-04-08,22.33279,촉촉한황치즈칩,25.3347,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-09,22.7644,촉촉한황치즈칩,31.82286,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-10,18.13447,촉촉한황치즈칩,26.8795,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-11,19.42928,촉촉한황치즈칩,25.02574,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-12,17.44604,촉촉한황치즈칩,24.6138,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-13,22.00107,촉촉한황치즈칩,29.45417,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-14,30.94346,촉촉한황치즈칩,31.92584,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-15,28.32174,촉촉한황치즈칩,29.55715,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-16,24.16978,촉촉한황치즈칩,25.12873,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-17,19.01194,촉촉한황치즈칩,20.28836,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-18,14.23934,촉촉한황치즈칩,18.02265,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-19,14.2322,촉촉한황치즈칩,21.00926,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-20,46.51685,촉촉한황치즈칩,44.69618,촉촉한황치즈칩
촉촉한황치즈칩,2026-04-21,76.4794,촉촉한황치즈칩,74.87126,촉촉한황치즈칩
