product_name,itemType,itemGroup,decisionAxis,priceInterpretation,recommendedUse
말차,ingredient,원재료/소재,소량 소싱·상품화 검토,시장 가격 부분 참고,원재료 관심 흐름을 바탕으로 소량 소싱과 상품화 가능성을 검토할 수 있습니다.
우베,ingredient,원재료/소재,소량 소싱·상품화 검토,시장 가격 부분 참고,원재료 관심 흐름을 바탕으로 소량 소싱과 상품화 가능성을 검토할 수 있습니다.
두쫀쿠,processed_food,가공/디저트형 상품,테스트 상품 기획,원물 가격 직접 연결 어려움,소셜·검색·쇼핑 반응을 바탕으로 테스트 상품 기획을 검토하는 것이 적합합니다.
우쫀쿠,processed_food,가공/디저트형 상품,테스트 상품 기획,원물 가격 직접 연결 어려움,소셜·검색·쇼핑 반응을 바탕으로 테스트 상품 기획을 검토하는 것이 적합합니다.
버터떡,processed_food,가공/디저트형 상품,테스트 상품 기획,원물 가격 직접 연결 어려움,소셜·검색·쇼핑 반응을 바탕으로 테스트 상품 기획을 검토하는 것이 적합합니다.
알부민 닭가슴살,processed_food,가공/건강식품,판매 반응·콘텐츠 운영,원물 가격 직접 연결 어려움,검색·쇼핑 반응을 중심으로 판매 반응과 콘텐츠 운영을 검토하는 것이 적합합니다.
어버이날선물,seasonal_event,선물/세트,기념일 수요·프로모션 운영,가격 직접 연결 어려움,기념일 수요를 고려해 프로모션·선물 기획전 노출을 검토하는 것이 적합합니다.
스승의날선물,seasonal_event,선물/세트,기념일 수요·프로모션 운영,가격 직접 연결 어려움,기념일 수요를 고려해 프로모션·선물 기획전 노출을 검토하는 것이 적합합니다.
쌀20kg,raw_agri,곡물/농산물,판매·재고·매입 운영,시장 가격은 표준 품목명 쌀 기준 참고,포장 단위가 포함된 상품명으로 시장 가격은 쌀 기준으로 참고해 판매·재고·매입 운영을 검토하는 것이 적합합니다.
쌀10kg,raw_agri,곡물/농산물,판매·재고·매입 운영,시장 가격은 표준 품목명 쌀 기준 참고,포장 단위가 포함된 상품명으로 시장 가격은 쌀 기준으로 참고해 판매·재고·매입 운영을 검토하는 것이 적합합니다.
과일선물세트,seasonal_event,선물/세트,기념일 수요·프로모션 운영,가격 직접 연결 어려움,기념일 수요를 고려해 프로모션·선물 기획전 노출을 검토하는 것이 적합합니다.
고추장,processed_food,가공식품,판매 반응·콘텐츠 운영,원재료 가격 간접 참고 가능,검색·쇼핑 반응을 중심으로 판매 반응과 콘텐츠 운영을 검토하는 것이 적합합니다.
간장,processed_food,가공식품,판매 반응·콘텐츠 운영,원재료 가격 간접 참고 가능,검색·쇼핑 반응을 중심으로 판매 반응과 콘텐츠 운영을 검토하는 것이 적합합니다.
된장,processed_food,가공식품,판매 반응·콘텐츠 운영,원재료 가격 간접 참고 가능,검색·쇼핑 반응을 중심으로 판매 반응과 콘텐츠 운영을 검토하는 것이 적합합니다.
간장게장,processed_food,가공식품,판매 반응·콘텐츠 운영,수산물 원물 가격 간접 참고 가능,검색·쇼핑 반응을 중심으로 판매 반응과 콘텐츠 운영을 검토하는 것이 적합합니다.
김치,processed_food,가공식품,판매 반응·콘텐츠 운영,원재료 가격 간접 참고 가능,검색·쇼핑 반응을 중심으로 판매 반응과 콘텐츠 운영을 검토하는 것이 적합합니다.
파김치,processed_food,가공식품,판매 반응·콘텐츠 운영,원재료 가격 간접 참고 가능,검색·쇼핑 반응을 중심으로 판매 반응과 콘텐츠 운영을 검토하는 것이 적합합니다.
겉절이,processed_food,가공식품,판매 반응·콘텐츠 운영,원재료 가격 간접 참고 가능,검색·쇼핑 반응을 중심으로 판매 반응과 콘텐츠 운영을 검토하는 것이 적합합니다.
오메가3,processed_food,건강식품,판매 반응·콘텐츠 운영,원물 가격 직접 연결 어려움,검색·쇼핑 반응을 중심으로 판매 반응과 콘텐츠 운영을 검토하는 것이 적합합니다.
닭가슴살,processed_food,가공식품,판매 반응·콘텐츠 운영,축산물 원물 가격 간접 참고 가능,검색·쇼핑 반응을 중심으로 판매 반응과 콘텐츠 운영을 검토하는 것이 적합합니다.
창억떡,processed_food,가공/디저트형 상품,테스트 상품 기획,원물 가격 직접 연결 어려움,소셜·검색·쇼핑 반응을 바탕으로 테스트 상품 기획을 검토하는 것이 적합합니다.